ingredeint_id,ingredient_name,ingredient_image_url
776,Byadagi,
777,Dried,
778,Chillies,
779,Guntur,
780,Dried,
781,Chillies,
782,Ciander,
783,Leaves,
784,a,
785,few,
786,s,
787,fely,
788,chopped,
789,garnish,
790,Ingredients,
791,Temperg,
792,Mustard,
793,seeds,
794,Chana,
795,dal,
796,Gram,
797,White,
798,Urad,
799,Dal,
800,Asafoetida,
801,Raw,
802,Peanuts,
803,Curry,
804,leaves,
805,Salt,
806,Bhdi,
807,chopped,
808,ch,
809,Paneer,
810,Cottage,
811,cubed,
812,Onion,
813,chopped,
814,Bay,
815,leaf,
816,Red,
817,Chilli,
818,powder,
819,Turmeric,
820,powder,
821,Ciander,
822,Powder,
823,Sugar,
824,Salt,
825,Oil,
826,cookg,
827,Ingredients,
828,grd,
829,Tomaes,
830,chopped,
831,Cloves,
832,ch,
833,Cnamon,
834,Stick,
835,Cardamom,
836,PodsSeeds,
837,cloves,
838,Garlic,
839,ch,
840,Gger,
841,Hung,
842,Curd,
843,Butn,
844,mushrooms,
845,quarters,
846,Onion,
847,fely,
848,chopped,
849,cloves,
850,Garlic,
851,ch,
852,Gger,
853,Turmeric,
854,powder,
855,Oil,
856,cookg,
857,Salt,
858,To,
859,Be,
860,Ground,
861,To,
862,Pte,
863,Dry,
864,Red,
865,Chillies,
866,Ciander,
867,Seeds,
868,Cum,
869,seeds,
870,Whole,
871,Black,
872,Peppercns,
873,Cardamom,
874,PodsSeeds,
875,Cloves,
876,Mango,
877,sm,
878,variety,
879,Green,
880,Chillies,
881,crushed,
882,Jaggery,
883,Salt,
884,Ingredients,
885,To,
886,Temper,
887,Coconut,
888,Oil,
889,Mustard,
890,seeds,
891,Dry,
892,Red,
893,Chilli,
894,broken,
895,Asafoetida,
896,generous,
897,Curry,
898,leaves,
899,Mo,
900,Dal,
901,whed,
902,and,
903,draed,
904,Green,
905,pe,
906,Onion,
907,fely,
908,chopped,
909,Toma,
910,fely,
911,chopped,
912,ch,
913,Gger,
914,grated,
915,cloves,
916,Garlic,
917,grated,
918,Green,
919,Chillies,
920,chopped,
921,Turmeric,
922,powder,
923,Salt,
924,Ingredients,
925,seong,
926,Mustard,
927,seeds,
928,Methi,
929,Seeds,
930,Cum,
931,seeds,
932,Fennel,
933,seeds,
934,Kalonji,
935,Nigella,
936,Garam,
937,mala,
938,powder,
939,Mustard,
940,oil,
941,Asafoetida,
942,a,
943,Kabuli,
944,Chana,
945,soaked,
946,overnight,
947,Salt,
948,Mala:,
949,Dry,
950,Red,
951,Chillies,
952,cloves,
953,Garlic,
954,Ciander,
955,Seeds,
956,Fresh,
957,coconut,
958,grated,
959,Tamard,
